 2020-Sep-05 15:54 *   298.9123 -25.0373
 2020-Sep-05 15:56 *   299.3117 -25.3559
 2020-Sep-05 15:58 *   299.7134 -25.6732
 2020-Sep-05 16:00 *   300.1173 -25.9892
 2020-Sep-05 16:02 *   300.5236 -26.3038
 2020-Sep-05 16:04 *   300.9322 -26.6171
 2020-Sep-05 16:06 *   301.3432 -26.9289
 2020-Sep-05 16:08 *   301.7567 -27.2394
 2020-Sep-05 16:10 *   302.1726 -27.5483
 2020-Sep-05 16:12 *   302.5911 -27.8558
 2020-Sep-05 16:14 *   303.0120 -28.1618
 2020-Sep-05 16:16 *   303.4355 -28.4663
 2020-Sep-05 16:18 *   303.8616 -28.7692
 2020-Sep-05 16:20 *   304.2904 -29.0705
 2020-Sep-05 16:22 *   304.7218 -29.3703
