 2018-Apr-01 12:28 *   271.0416  -9.8355
 2018-Apr-01 12:30 *   271.3487 -10.2093
 2018-Apr-01 12:32 *   271.6561 -10.5829
 2018-Apr-01 12:34 *   271.9640 -10.9565
 2018-Apr-01 12:36 *   272.2722 -11.3299
 2018-Apr-01 12:38 *   272.5810 -11.7033
 2018-Apr-01 12:40 *   272.8902 -12.0765
 2018-Apr-01 12:42 *   273.2000 -12.4496
 2018-Apr-01 12:44 *   273.5103 -12.8225
 2018-Apr-01 12:46 *   273.8212 -13.1952
 2018-Apr-01 12:48 *   274.1326 -13.5678
 2018-Apr-01 12:50 *   274.4448 -13.9402
 2018-Apr-01 12:52 *   274.7575 -14.3125
 2018-Apr-01 12:54 *   275.0710 -14.6845
 2018-Apr-01 12:56 *   275.3851 -15.0563
 2018-Apr-01 12:58 *   275.7001 -15.4278
 2018-Apr-01 13:00 *   276.0158 -15.7992
 2018-Apr-01 13:02 *   276.3323 -16.1702
 2018-Apr-01 13:04 *   276.6496 -16.5411
 2018-Apr-01 13:06 *   276.9678 -16.9116
 2018-Apr-01 13:08 *   277.2869 -17.2819
 2018-Apr-01 13:10 *   277.6069 -17.6518
 2018-Apr-01 13:12 *   277.9279 -18.0215
 2018-Apr-01 13:14 *   278.2499 -18.3909
 2018-Apr-01 13:16 *   278.5729 -18.7599
 2018-Apr-01 13:18 *   278.8970 -19.1285
 2018-Apr-01 13:20 *   279.2221 -19.4969
 2018-Apr-01 13:22 *   279.5484 -19.8648
 2018-Apr-01 13:24 *   279.8758 -20.2324
 2018-Apr-01 13:26 *   280.2045 -20.5995
 2018-Apr-01 13:28 *   280.5343 -20.9663
 2018-Apr-01 13:30 *   280.8654 -21.3326
 2018-Apr-01 13:32 *   281.1978 -21.6986
 2018-Apr-01 13:34 *   281.5315 -22.0640
 2018-Apr-01 13:36 *   281.8666 -22.4290
 2018-Apr-01 13:38 *   282.2031 -22.7936
 2018-Apr-01 13:40 *   282.5410 -23.1576
 2018-Apr-01 13:42 *   282.8804 -23.5212
 2018-Apr-01 13:44 *   283.2213 -23.8842
 2018-Apr-01 13:46 *   283.5638 -24.2467
 2018-Apr-01 13:48 *   283.9078 -24.6086
 2018-Apr-01 13:50 *   284.2535 -24.9700
 2018-Apr-01 13:52 *   284.6008 -25.3308
 2018-Apr-01 13:54 *   284.9498 -25.6911
 2018-Apr-01 13:56 *   285.3006 -26.0507
 2018-Apr-01 13:58 *   285.6531 -26.4097
 2018-Apr-01 14:00 *   286.0075 -26.7681
 2018-Apr-01 14:02 *   286.3637 -27.1258
 2018-Apr-01 14:04 *   286.7219 -27.4828
 2018-Apr-01 14:06 *   287.0820 -27.8392
 2018-Apr-01 14:08 *   287.4441 -28.1948
 2018-Apr-01 14:10 *   287.8082 -28.5497
 2018-Apr-01 14:12 *   288.1744 -28.9039
 2018-Apr-01 14:14 *   288.5427 -29.2573
 2018-Apr-01 14:16 *   288.9132 -29.6100
 2018-Apr-01 14:18 *   289.2859 -29.9618
 2018-Apr-01 14:20 *   289.6609 -30.3129
 2018-Apr-01 14:22 *   290.0381 -30.6631
 2018-Apr-01 14:24 *   290.4178 -31.0125
 2018-Apr-01 14:26 *   290.7998 -31.3610
 2018-Apr-01 14:28 *   291.1843 -31.7085
 2018-Apr-01 14:30 *   291.5713 -32.0552
 2018-Apr-01 14:32 *   291.9608 -32.4010
 2018-Apr-01 14:34 *   292.3530 -32.7458
 2018-Apr-01 14:36 *   292.7478 -33.0896
 2018-Apr-01 14:38 *   293.1452 -33.4324
 2018-Apr-01 14:40 *   293.5455 -33.7742
 2018-Apr-01 14:42 *   293.9486 -34.1150
 2018-Apr-01 14:44 *   294.3545 -34.4547
 2018-Apr-01 14:46 *   294.7633 -34.7933
 2018-Apr-01 14:48 *   295.1752 -35.1307
