 2023-Sep-01 14:10 *   286.3389 -22.2035
 2023-Sep-01 14:12 *   286.6982 -22.5495
 2023-Sep-01 14:14 *   287.0590 -22.8949
 2023-Sep-01 14:16 *   287.4216 -23.2395
 2023-Sep-01 14:18 *   287.7858 -23.5833
 2023-Sep-01 14:20 *   288.1518 -23.9264
 2023-Sep-01 14:22 *   288.5196 -24.2687
 2023-Sep-01 14:24 *   288.8892 -24.6102
 2023-Sep-01 14:26 *   289.2606 -24.9509
 2023-Sep-01 14:28 *   289.6339 -25.2907
 2023-Sep-01 14:30 *   290.0092 -25.6297
 2023-Sep-01 14:32 *   290.3864 -25.9679
 2023-Sep-01 14:34 *   290.7657 -26.3051
 2023-Sep-01 14:36 *   291.1470 -26.6414
 2023-Sep-01 14:38 *   291.5303 -26.9768
 2023-Sep-01 14:40 *   291.9159 -27.3112
 2023-Sep-01 14:42 *   292.3035 -27.6447
 2023-Sep-01 14:44 *   292.6934 -27.9771
 2023-Sep-01 14:46 *   293.0855 -28.3086
 2023-Sep-01 14:48 *   293.4799 -28.6390
 2023-Sep-01 14:50 *   293.8767 -28.9683
 2023-Sep-01 14:52 *   294.2758 -29.2966
 2023-Sep-01 14:54 *   294.6773 -29.6238
 2023-Sep-01 14:56 *   295.0812 -29.9498
 2023-Sep-01 14:58 *   295.4877 -30.2747
 2023-Sep-01 15:00 *   295.8967 -30.5984
 2023-Sep-01 15:02 *   296.3083 -30.9209
 2023-Sep-01 15:04 *   296.7225 -31.2422
 2023-Sep-01 15:06 *   297.1394 -31.5623
 2023-Sep-01 15:08 *   297.5590 -31.8811
 2023-Sep-01 15:10 *   297.9813 -32.1985
 2023-Sep-01 15:12 *   298.4065 -32.5147
 2023-Sep-01 15:14 *   298.8344 -32.8295
 2023-Sep-01 15:16 *   299.2653 -33.1430
 2023-Sep-01 15:18 *   299.6991 -33.4550
 2023-Sep-01 15:20 *   300.1359 -33.7656
 2023-Sep-01 15:22 *   300.5757 -34.0747
 2023-Sep-01 15:24 *   301.0186 -34.3824
 2023-Sep-01 15:26 *   301.4646 -34.6886
 2023-Sep-01 15:28 *   301.9137 -34.9932
 2023-Sep-01 15:30 *   302.3660 -35.2962
 2023-Sep-01 15:32 *   302.8216 -35.5976
 2023-Sep-01 15:34 *   303.2805 -35.8974
 2023-Sep-01 15:36 *   303.7427 -36.1955
 2023-Sep-01 15:38 *   304.2083 -36.4920
 2023-Sep-01 15:40 *   304.6773 -36.7867
 2023-Sep-01 15:42 *   305.1497 -37.0796
 2023-Sep-01 15:44 *   305.6257 -37.3708
 2023-Sep-01 15:46 *   306.1053 -37.6601
 2023-Sep-01 15:48 *   306.5884 -37.9475
 2023-Sep-01 15:50 *   307.0752 -38.2331
 2023-Sep-01 15:52 *   307.5657 -38.5167
 2023-Sep-01 15:54 *   308.0599 -38.7984
 2023-Sep-01 15:56 *   308.5579 -39.0780
 2023-Sep-01 15:58 *   309.0597 -39.3557
 2023-Sep-01 16:00 *   309.5654 -39.6312
 2023-Sep-01 16:02 *   310.0750 -39.9046
 2023-Sep-01 16:04 *   310.5885 -40.1759
 2023-Sep-01 16:06 *   311.1059 -40.4450
 2023-Sep-01 16:08 *   311.6274 -40.7118
 2023-Sep-01 16:10 *   312.1529 -40.9764
 2023-Sep-01 16:12 *   312.6826 -41.2387
 2023-Sep-01 16:14 *   313.2163 -41.4986
 2023-Sep-01 16:16 *   313.7542 -41.7561
 2023-Sep-01 16:18 *   314.2963 -42.0112
 2023-Sep-01 16:20 *   314.8426 -42.2639
 2023-Sep-01 16:22 *   315.3932 -42.5140
