 2020-Dec-05 15:14 *m  286.2559  12.0270
 2020-Dec-05 15:16 *m  286.5385  11.6681
 2020-Dec-05 15:18 *m  286.8214  11.3098
 2020-Dec-05 15:20 *m  287.1046  10.9521
 2020-Dec-05 15:22 *m  287.3882  10.5949
 2020-Dec-05 15:24 *m  287.6721  10.2383
 2020-Dec-05 15:26 *m  287.9564   9.8822
 2020-Dec-05 15:28 *m  288.2411   9.5268
 2020-Dec-05 15:30 *m  288.5263   9.1720
 2020-Dec-05 15:32 *m  288.8119   8.8178
 2020-Dec-05 15:34 *m  289.0980   8.4642
 2020-Dec-05 15:36 *m  289.3845   8.1112
 2020-Dec-05 15:38 *m  289.6716   7.7589
 2020-Dec-05 15:40 *m  289.9591   7.4073
 2020-Dec-05 15:42 *m  290.2472   7.0563
 2020-Dec-05 15:44 *m  290.5359   6.7060
 2020-Dec-05 15:46 *m  290.8252   6.3563
 2020-Dec-05 15:48 *m  291.1150   6.0074
 2020-Dec-05 15:50 *m  291.4055   5.6591
 2020-Dec-05 15:52 *m  291.6966   5.3116
 2020-Dec-05 15:54 *m  291.9883   4.9647
 2020-Dec-05 15:56 *m  292.2807   4.6187
 2020-Dec-05 15:58 *m  292.5739   4.2733
 2020-Dec-05 16:00 *m  292.8677   3.9287
 2020-Dec-05 16:02 *m  293.1622   3.5849
 2020-Dec-05 16:04 *m  293.4575   3.2418
 2020-Dec-05 16:06 *m  293.7536   2.8996
 2020-Dec-05 16:08 *m  294.0505   2.5581
 2020-Dec-05 16:10 *m  294.3481   2.2174
 2020-Dec-05 16:12 *m  294.6466   1.8776
 2020-Dec-05 16:14 *m  294.9459   1.5385
 2020-Dec-05 16:16 *m  295.2460   1.2003
 2020-Dec-05 16:18 *m  295.5471   0.8630
 2020-Dec-05 16:20 *m  295.8490   0.5265
 2020-Dec-05 16:22 *m  296.1518   0.1909
 2020-Dec-05 16:24 *m  296.4556  -0.1438
 2020-Dec-05 16:26 *m  296.7603  -0.4776
 2020-Dec-05 16:28 *m  297.0659  -0.8105
 2020-Dec-05 16:30 *s  297.3726  -1.1425
