 2017-Mar-05 10:30 A   348.0039 -31.8344
 2017-Mar-05 10:32 A   348.5330 -31.9054
 2017-Mar-05 10:34 A   349.0631 -31.9730
 2017-Mar-05 10:36 A   349.5941 -32.0374
 2017-Mar-05 10:38 A   350.1260 -32.0985
 2017-Mar-05 10:40 N   350.6587 -32.1562
 2017-Mar-05 10:42 N   351.1923 -32.2107
 2017-Mar-05 10:44 N   351.7266 -32.2618
 2017-Mar-05 10:46 N   352.2616 -32.3096
 2017-Mar-05 10:48 N   352.7972 -32.3541
 2017-Mar-05 10:50 N   353.3335 -32.3952
 2017-Mar-05 10:52 N   353.8704 -32.4329
 2017-Mar-05 10:54 N   354.4077 -32.4673
 2017-Mar-05 10:56 N   354.9456 -32.4983
 2017-Mar-05 10:58 N   355.4838 -32.5259
 2017-Mar-05 11:00 N   356.0225 -32.5502
 2017-Mar-05 11:02 N   356.5614 -32.5710
 2017-Mar-05 11:04 N   357.1007 -32.5885
 2017-Mar-05 11:06 N   357.6401 -32.6026
 2017-Mar-05 11:08 N   358.1798 -32.6133
 2017-Mar-05 11:10 N   358.7195 -32.6206
 2017-Mar-05 11:12 C   359.2594 -32.6245
 2017-Mar-05 11:14 C   359.7992 -32.6250
 2017-Mar-05 11:16 C     0.3391 -32.6221
 2017-Mar-05 11:18 C     0.8788 -32.6157
 2017-Mar-05 11:20 C     1.4184 -32.6060
 2017-Mar-05 11:22 C     1.9579 -32.5930
 2017-Mar-05 11:24 C     2.4971 -32.5765
 2017-Mar-05 11:26 C     3.0361 -32.5566
 2017-Mar-05 11:28 C     3.5747 -32.5333
 2017-Mar-05 11:30 C     4.1130 -32.5067
 2017-Mar-05 11:32 C     4.6508 -32.4766
 2017-Mar-05 11:34 C     5.1882 -32.4432
 2017-Mar-05 11:36 C     5.7250 -32.4065
 2017-Mar-05 11:38 C     6.2613 -32.3663
 2017-Mar-05 11:40 *     6.7969 -32.3229
 2017-Mar-05 11:42 *     7.3319 -32.2760
 2017-Mar-05 11:44 *     7.8662 -32.2259
 2017-Mar-05 11:46 *     8.3997 -32.1724
 2017-Mar-05 11:48 *     8.9324 -32.1156
 2017-Mar-05 11:50 *     9.4643 -32.0554
 2017-Mar-05 11:52 *     9.9953 -31.9920
