 2020-Dec-05 12:52 *m  262.8791  40.3475
 2020-Dec-05 12:54 *m  263.2278  39.9782
 2020-Dec-05 12:56 *m  263.5742  39.6087
 2020-Dec-05 12:58 *m  263.9183  39.2390
 2020-Dec-05 13:00 *m  264.2602  38.8690
 2020-Dec-05 13:02 *m  264.5999  38.4989
 2020-Dec-05 13:04 *m  264.9374  38.1286
 2020-Dec-05 13:06 *m  265.2730  37.7581
 2020-Dec-05 13:08 *m  265.6065  37.3875
 2020-Dec-05 13:10 *m  265.9382  37.0168
 2020-Dec-05 13:12 *m  266.2679  36.6459
 2020-Dec-05 13:14 *m  266.5958  36.2750
 2020-Dec-05 13:16 *m  266.9220  35.9039
 2020-Dec-05 13:18 *m  267.2464  35.5328
 2020-Dec-05 13:20 *m  267.5692  35.1616
 2020-Dec-05 13:22 *m  267.8903  34.7903
 2020-Dec-05 13:24 *m  268.2099  34.4190
 2020-Dec-05 13:26 *m  268.5279  34.0477
 2020-Dec-05 13:28 *m  268.8445  33.6763
 2020-Dec-05 13:30 *m  269.1596  33.3050
 2020-Dec-05 13:32 *m  269.4733  32.9336
 2020-Dec-05 13:34 *m  269.7857  32.5622
 2020-Dec-05 13:36 *m  270.0968  32.1909
 2020-Dec-05 13:38 *m  270.4066  31.8196
 2020-Dec-05 13:40 *m  270.7152  31.4484
 2020-Dec-05 13:42 *m  271.0226  31.0772
 2020-Dec-05 13:44 *m  271.3288  30.7061
 2020-Dec-05 13:46 *m  271.6340  30.3350
 2020-Dec-05 13:48 *m  271.9381  29.9641
 2020-Dec-05 13:50 *m  272.2411  29.5932
 2020-Dec-05 13:52 *m  272.5432  29.2225
 2020-Dec-05 13:54 *m  272.8443  28.8518
 2020-Dec-05 13:56 *m  273.1445  28.4813
 2020-Dec-05 13:58 *m  273.4437  28.1110
 2020-Dec-05 14:00 *m  273.7422  27.7408
 2020-Dec-05 14:02 *m  274.0398  27.3707
 2020-Dec-05 14:04 *m  274.3366  27.0008
 2020-Dec-05 14:06 *m  274.6327  26.6311
 2020-Dec-05 14:08 *m  274.9280  26.2615
 2020-Dec-05 14:10 *m  275.2227  25.8922
 2020-Dec-05 14:12 *m  275.5167  25.5231
 2020-Dec-05 14:14 *m  275.8100  25.1541
 2020-Dec-05 14:16 *m  276.1028  24.7854
 2020-Dec-05 14:18 *m  276.3950  24.4170
 2020-Dec-05 14:20 *m  276.6866  24.0487
 2020-Dec-05 14:22 *m  276.9777  23.6808
 2020-Dec-05 14:24 *m  277.2684  23.3130
 2020-Dec-05 14:26 *m  277.5586  22.9456
 2020-Dec-05 14:28 *m  277.8483  22.5784
 2020-Dec-05 14:30 *m  278.1376  22.2115
 2020-Dec-05 14:32 *m  278.4266  21.8449
 2020-Dec-05 14:34 *m  278.7152  21.4786
 2020-Dec-05 14:36 *m  279.0035  21.1126
 2020-Dec-05 14:38 *m  279.2915  20.7469
 2020-Dec-05 14:40 *m  279.5792  20.3816
 2020-Dec-05 14:42 *m  279.8667  20.0166
 2020-Dec-05 14:44 *m  280.1539  19.6519
 2020-Dec-05 14:46 *m  280.4410  19.2876
 2020-Dec-05 14:48 *m  280.7278  18.9237
 2020-Dec-05 14:50 *m  281.0145  18.5601
 2020-Dec-05 14:52 *m  281.3011  18.1970
 2020-Dec-05 14:54 *m  281.5876  17.8342
 2020-Dec-05 14:56 *m  281.8740  17.4718
 2020-Dec-05 14:58 *m  282.1603  17.1098
 2020-Dec-05 15:00 *m  282.4466  16.7482
 2020-Dec-05 15:02 *m  282.7329  16.3871
 2020-Dec-05 15:04 *m  283.0192  16.0263
 2020-Dec-05 15:06 *m  283.3056  15.6661
 2020-Dec-05 15:08 *m  283.5919  15.3063
 2020-Dec-05 15:10 *m  283.8784  14.9469
 2020-Dec-05 15:12 *m  284.1650  14.5880
 2020-Dec-05 15:14 *m  284.4516  14.2296
 2020-Dec-05 15:16 *m  284.7385  13.8717
 2020-Dec-05 15:18 *m  285.0254  13.5142
 2020-Dec-05 15:20 *m  285.3126  13.1573
 2020-Dec-05 15:22 *m  285.5999  12.8009
 2020-Dec-05 15:24 *m  285.8875  12.4450
 2020-Dec-05 15:26 *m  286.1753  12.0897
 2020-Dec-05 15:28 *m  286.4634  11.7348
 2020-Dec-05 15:30 *m  286.7518  11.3806
 2020-Dec-05 15:32 *m  287.0405  11.0269
